text,reading,english,level,length,kanji_ratio
これは本です。,これはほんです。,This is a book.,N5,7,0.14
それはわたしのペンです。,それはわたしのぺんです。,That's my pen.,N5,12,0.0
あれは交番です。,あれはこうばんです。,That's a police station.,N5,8,0.25
この辞書はだれのですか。,このじしょはだれのですか。,Whose dictionary is this?,N5,12,0.17
わたしは学生です。,わたしはがくせいです。,I'm a student.,N5,9,0.22
田中さんは先生ではありません。,たなかさんはせんせいではありません。,Mr Tanaka is not a teacher.,N5,15,0.27
お名前は何ですか。,おなまえはなんですか。,What's your name?,N5,9,0.33
あの方はどなたですか。,あのほうはどなたですか。,Who is he?,N5,11,0.09
今日は月曜日です。,きょうはげつようひです。,Today is Monday.,N5,9,0.56
明日は火曜日ではありません。,あすはかようひではありません。,Tomorrow isn't Tuesday.,N5,14,0.36
試験は何時までですか。,しけんはなんじまでですか。,What time does the exam take?,N5,11,0.36
銀行は九時から三時までです。,ぎんこうはきゅうじからさんじまでです。,The bank goes from nine o'clock to three o'clock.,N5,14,0.43
今、何時ですか。,いま、なんどきですか。,What time is it now?,N5,8,0.38
毎日、八時に起きます。,まいにち、はちじにおきます。,I get up every day at eight o'clock.,N5,11,0.45
昨日は休みでした。,きのうはやすみでした。,I was off yesterday.,N5,9,0.33
一昨日は休みではありませんでした。,いっさくひはやすみではありませんでした。,It wasn't a holiday the day before yesterday.,N5,17,0.24
毎日、日本語を勉強します。,まいにち、にっぽんごをべんきょうします。,I study Japanese every day.,N5,13,0.54
どこへ行きますか。,どこへいきますか。,Where are you going?,N5,9,0.11
会社へ行きます。,かいしゃへいきます。,I'm going to work.,N5,8,0.38
地下鉄で家へ帰ります。,ちかてつでいえへかえります。,I'm going home by subway.,N5,11,0.45
友達と日本へ来ました。,ともだちとにっぽんへきました。,I came to Japan with a friend.,N5,11,0.45
一人でデパートへ行きます。,ひとりででぱーとへいきます。,I'm going to the department store by myself.,N5,13,0.23
タクシーで帰りました。,たくしーでかえりました。,I went home by taxi.,N5,11,0.09
朝ご飯に卵を食べました。,あさごはんにたまごをたべました。,I ate eggs for breakfast.,N5,12,0.33
何も食べませんでした。,なんもたべませんでした。,I didn't eat anything.,N5,11,0.18
公園で写真を撮ります。,こうえんでしゃしんをとります。,I'm taking pictures in the park.,N5,11,0.45
